"indicator","period","start","end","group","subgroup","value"
"Took Prescription Medication for Mental Health, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Tennessee",26.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Texas",22.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Utah",27.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Vermont",30.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Virginia",23.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Washington",23.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","West Virginia",30.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Wisconsin",24.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Wyoming",18.5
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Alabama",8
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Alaska",9.4
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Arizona",10.1
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Arkansas",8.2
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","California",12.9
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Colorado",11.6
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Connecticut",10.9
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Delaware",10.6
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","District of Columbia",15.9
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Florida",9.4
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Georgia",7.4
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Hawaii",8.4
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Idaho",9.1
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Illinois",11.1
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Indiana",10.7
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Iowa",11.1
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Kansas",8.3
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Kentucky",10.7
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Louisiana",9.7
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Maine",11.3
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Maryland",14.2
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Massachusetts",15.4
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Michigan",10.7
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Minnesota",12.4
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Mississippi",7.5
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Missouri",9.9
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Montana",13.9
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Nebraska",11.6
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Nevada",10.7
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","New Hampshire",13.4
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","New Jersey",12
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","New Mexico",12.4
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","New York",13.3
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","North Carolina",9.6
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","North Dakota",6.8
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Ohio",7.7
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Oklahoma",10.5
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Oregon",13.2
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Pennsylvania",9.3
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Rhode Island",13.6
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","South Carolina",7.6
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","South Dakota",9.1
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Tennessee",8.4
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Texas",8.2
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Utah",12.7
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Vermont",17.2
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Virginia",9.8
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Washington",11.5
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","West Virginia",8.4
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Wisconsin",10.7
"Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Wyoming",10.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Alabama",26.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Alaska",23.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Arizona",23.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Arkansas",30.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","California",23.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Colorado",31
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Connecticut",23.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Delaware",31.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","District of Columbia",25
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Florida",23.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Georgia",21.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Hawaii",17.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Idaho",25.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Illinois",24.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Indiana",28.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Iowa",30.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Kansas",27.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Kentucky",33
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Louisiana",31.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Maine",26.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Maryland",25.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Massachusetts",29.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Michigan",26.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Minnesota",30.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Mississippi",23.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Missouri",30.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Montana",32
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Nebraska",30.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Nevada",22.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","New Hampshire",29.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","New Jersey",21.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","New Mexico",28.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","New York",23.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","North Carolina",22.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","North Dakota",27.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Ohio",26
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Oklahoma",29.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Oregon",30.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Pennsylvania",27.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Rhode Island",28.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","South Carolina",26.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","South Dakota",29.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Tennessee",29.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Texas",25.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Utah",31.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Vermont",38.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Virginia",26.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Washington",28.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","West Virginia",33.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Wisconsin",26.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Wyoming",21.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Alabama",10.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Alaska",11.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Arizona",12.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Arkansas",13.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","California",11.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Colorado",14
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Connecticut",11.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Delaware",12.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","District of Columbia",14.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Florida",10.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Georgia",12.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Hawaii",7.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Idaho",10.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Illinois",9.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Indiana",11.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Iowa",9.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Kansas",12.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Kentucky",10.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Louisiana",11
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Maine",11.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Maryland",13.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Massachusetts",9.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Michigan",9.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Minnesota",10.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Mississippi",13.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Missouri",13.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Montana",14.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Nebraska",13
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Nevada",11.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","New Hampshire",12.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","New Jersey",7.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","New Mexico",12
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","New York",11.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","North Carolina",10.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","North Dakota",9.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Ohio",8.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Oklahoma",14.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Oregon",15.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Pennsylvania",9.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Rhode Island",11.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","South Carolina",9.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","South Dakota",12.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Tennessee",11
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Texas",12.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Utah",13.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Vermont",9.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Virginia",12.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Washington",14.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","West Virginia",12.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Wisconsin",10
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","41",2021-12-29,2022-01-10,"By State","Wyoming",13.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Alabama",28.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Alaska",14.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Arizona",22.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Arkansas",29.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","California",16.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Colorado",18.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Connecticut",24.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Delaware",26.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","District of Columbia",18.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Florida",18.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Georgia",20.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Hawaii",11.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Idaho",20.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Illinois",21.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Indiana",28.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Iowa",27.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Kansas",23.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Kentucky",28.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Louisiana",24.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Maine",30.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Maryland",22.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Massachusetts",22.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Michigan",27.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Minnesota",25.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Mississippi",21
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Missouri",26.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Montana",22.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Nebraska",24.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Nevada",16.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","New Hampshire",27.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","New Jersey",21.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","New Mexico",21.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","New York",18.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","North Carolina",24.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","North Dakota",25.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Ohio",24.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Oklahoma",25.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Oregon",23.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Pennsylvania",28.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Rhode Island",24.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","South Carolina",24.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","South Dakota",26.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Tennessee",24
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Texas",20.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Utah",26.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Vermont",26.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Virginia",20.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Washington",19.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","West Virginia",37
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Wisconsin",25
"Took Prescription Medication for Mental Health, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Wyoming",18.8
"Received Counseling or Therapy, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Alabama",7.5
"Received Counseling or Therapy, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Alaska",10.2
"Received Counseling or Therapy, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Arizona",10.2
"Received Counseling or Therapy, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Arkansas",8.6
"Received Counseling or Therapy, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","California",11.3
"Received Counseling or Therapy, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Colorado",12.4
"Received Counseling or Therapy, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Connecticut",13.3
"Received Counseling or Therapy, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Delaware",14.3
"Received Counseling or Therapy, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","District of Columbia",15.5
"Received Counseling or Therapy, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Florida",7.7
"Received Counseling or Therapy, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Georgia",7.9
"Received Counseling or Therapy, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Hawaii",9.2
"Received Counseling or Therapy, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Idaho",8.6
"Received Counseling or Therapy, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Illinois",12.4
"Received Counseling or Therapy, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Indiana",8.8
"Received Counseling or Therapy, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Iowa",9.3
"Received Counseling or Therapy, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Kansas",9.4
"Received Counseling or Therapy, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Kentucky",11.2
"Received Counseling or Therapy, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Louisiana",6.8
"Received Counseling or Therapy, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Maine",10.6
"Received Counseling or Therapy, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Maryland",11.8
"Received Counseling or Therapy, Last 4 Weeks","42",2022-01-26,2022-02-07,"By State","Massachusetts",14.5
